,0
0,122
1,122
2,19
3,19
4,13
5,13
6,11
7,11
8,16
9,16
10,10
11,10
12,8
13,8
14,10
15,10
16,13
17,13
18,9
19,9
20,10
21,10
22,8
23,8
24,13
25,13
26,8
27,8
28,17
29,17
30,12
31,12
32,10
33,10
34,10
35,10
36,11
37,11
38,12
39,12
40,8
41,8
42,11
43,11
44,8
45,8
46,9
47,9
48,12
49,12
50,9
51,9
52,8
53,8
54,14
55,14
56,8
57,8
58,9
59,9
60,8
61,8
62,9
63,9
64,9
65,9
66,10
67,10
68,10
69,10
70,9
71,9
72,8
73,8
74,9
75,9
76,13
77,13
78,11
79,11
80,15
81,15
82,9
83,9
84,8
85,8
86,15
87,15
88,10
89,10
90,12
91,12
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,11
101,11
102,8
103,8
104,8
105,8
106,10
107,10
108,8
109,8
110,8
111,8
112,8
113,8
114,9
115,9
116,9
117,9
118,9
119,9
120,11
121,11
122,9
123,9
124,12
125,12
126,12
127,12
128,8
129,8
130,10
131,10
132,16
133,16
134,8
135,8
136,10
137,10
138,10
139,10
140,8
141,8
142,9
143,9
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,11
155,11
156,10
157,10
158,8
159,8
160,8
161,8
162,8
163,8
164,9
165,9
166,9
167,9
168,9
169,9
170,8
171,8
172,9
173,9
174,12
175,12
176,8
177,8
178,10
179,10
180,8
181,8
182,8
183,8
184,9
185,9
186,8
187,8
188,10
189,10
190,9
191,9
192,10
193,10
194,11
195,11
196,8
197,8
198,11
199,11
200,9
201,9
202,8
203,8
204,9
205,9
206,10
207,10
208,10
209,10
210,8
211,8
212,8
213,8
214,12
215,12
216,9
217,9
218,8
219,8
220,12
221,12
222,8
223,8
224,8
225,8
226,11
227,11
228,13
229,13
230,10
231,10
232,11
233,11
234,9
235,9
236,9
237,9
238,8
239,8
240,8
241,8
242,10
243,10
244,11
245,11
246,10
247,10
248,14
249,14
250,9
251,9
252,8
253,8
254,12
255,12
256,10
257,10
258,8
259,8
260,12
261,12
262,10
263,10
264,8
265,8
266,14
267,14
268,8
269,8
270,8
271,8
272,8
273,8
274,9
275,9
276,10
277,10
278,8
279,8
280,10
281,10
282,10
283,10
284,16
285,16
286,8
287,8
288,11
289,11
290,9
291,9
292,8
293,8
294,10
295,10
296,8
297,8
298,16
299,16
300,12
301,12
302,12
303,12
304,9
305,9
306,8
307,8
308,8
309,8
310,10
311,10
312,12
313,12
314,8
315,8
316,12
317,12
318,9
319,9
320,11
321,11
322,10
323,10
324,10
325,10
326,19
327,19
328,14
329,14
330,8
331,8
332,8
333,8
334,12
335,12
336,10
337,10
338,13
339,13
340,14
341,14
342,8
343,8
344,8
345,8
346,12
347,12
348,14
349,14
350,8
351,8
352,8
353,8
354,10
355,10
356,17
357,17
358,8
359,8
360,13
361,13
362,8
363,8
364,12
365,12
366,11
367,11
368,8
369,8
370,10
371,10
372,9
373,9
374,8
375,8
376,11
377,11
378,8
379,8
380,15
381,15
382,8
383,8
384,10
385,10
386,9
387,9
388,8
389,8
390,8
391,8
392,8
393,8
394,10
395,10
396,10
397,10
398,10
399,10
