,0
0,135
1,135
2,30
3,30
4,103
5,103
6,40
7,40
8,42
9,42
10,26
11,26
12,16
13,16
14,27
15,27
16,15
17,15
18,14
19,14
20,11
21,11
22,32
23,32
24,9
25,9
26,20
27,20
28,25
29,25
30,11
31,11
32,9
33,9
34,9
35,9
36,13
37,13
38,9
39,9
40,15
41,15
42,11
43,11
44,11
45,11
46,13
47,13
48,16
49,16
50,17
51,17
52,9
53,9
54,16
55,16
56,15
57,15
58,11
59,11
60,9
61,9
62,10
63,10
64,9
65,9
66,15
67,15
68,9
69,9
70,13
71,13
72,22
73,22
74,9
75,9
76,12
77,12
78,13
79,13
80,12
81,12
82,13
83,13
84,11
85,11
86,17
87,17
88,9
89,9
90,9
91,9
92,9
93,9
94,13
95,13
96,10
97,10
98,9
99,9
100,10
101,10
102,9
103,9
104,9
105,9
106,9
107,9
108,9
109,9
110,19
111,19
112,11
113,11
114,20
115,20
116,15
117,15
118,9
119,9
120,11
121,11
122,13
123,13
124,15
125,15
126,9
127,9
128,9
129,9
130,12
131,12
132,9
133,9
134,9
135,9
136,9
137,9
138,14
139,14
140,9
141,9
142,9
143,9
144,13
145,13
146,11
147,11
148,9
149,9
150,9
151,9
152,9
153,9
154,11
155,11
156,9
157,9
158,15
159,15
160,12
161,12
162,13
163,13
164,9
165,9
166,9
167,9
168,19
169,19
170,10
171,10
172,10
173,10
174,9
175,9
176,9
177,9
178,11
179,11
180,11
181,11
182,9
183,9
184,13
185,13
186,9
187,9
188,18
189,18
190,16
191,16
192,9
193,9
194,11
195,11
196,9
197,9
198,11
199,11
200,11
201,11
202,9
203,9
204,11
205,11
206,13
207,13
208,14
209,14
210,12
211,12
212,9
213,9
214,14
215,14
216,12
217,12
218,12
219,12
220,13
221,13
222,13
223,13
224,13
225,13
226,17
227,17
228,9
229,9
230,11
231,11
232,9
233,9
234,13
235,13
236,13
237,13
238,15
239,15
240,13
241,13
242,13
243,13
244,9
245,9
246,9
247,9
248,11
249,11
250,11
251,11
252,10
253,10
254,9
255,9
256,10
257,10
258,9
259,9
260,17
261,17
262,11
263,11
264,10
265,10
266,9
267,9
268,13
269,13
270,17
271,17
272,10
273,10
274,9
275,9
276,9
277,9
278,9
279,9
280,14
281,14
282,10
283,10
284,9
285,9
286,11
287,11
288,9
289,9
290,11
291,11
292,17
293,17
294,9
295,9
296,17
297,17
298,11
299,11
300,10
301,10
302,9
303,9
304,11
305,11
306,9
307,9
308,10
309,10
310,11
311,11
312,11
313,11
314,14
315,14
316,9
317,9
318,12
319,12
320,17
321,17
322,9
323,9
324,9
325,9
326,10
327,10
328,14
329,14
330,9
331,9
332,9
333,9
334,15
335,15
336,9
337,9
338,18
339,18
340,11
341,11
342,11
343,11
344,9
345,9
346,15
347,15
348,9
349,9
350,13
351,13
352,9
353,9
354,13
355,13
356,11
357,11
358,9
359,9
360,13
361,13
362,16
363,16
364,9
365,9
366,9
367,9
368,11
369,11
370,12
371,12
372,11
373,11
374,11
375,11
376,11
377,11
378,11
379,11
380,13
381,13
382,13
383,13
384,9
385,9
386,9
387,9
388,10
389,10
390,11
391,11
392,11
393,11
394,12
395,12
396,9
397,9
398,10
399,10
