,Q_Learning,SARSA,SARSA_PIES
0,1983.3,1860.2,1716.5
1,1663.6,1512.4,1662.2
2,1323.2,1603.6,661.6
3,1906.3,1972,468.5
4,1971.7,1908.7,53.2
5,1215.2,1793.2,49.5
6,1839.7,1678.7,49.2
7,1044.6,1544,46.7
8,1443.6,1662.6,279.9
9,1776.5,1143.7,46.8
10,1494.5,1530.3,69.7
11,1115.9,1399.5,49
12,1217,1592.6,50
13,875.9,1228.2,49.8
14,1599.2,1250.2,52.4
15,1181.4,1211.8,132.3
16,1112.2,1728.5,247.1
17,957.4,686.1,80.8
18,1121.1,843.8,48.3
19,668.3,1199.2,46.4
20,866.3,1264.6,63.1
21,826.1,1113.1,48
22,806.4,1042,49.2
23,1128.9,1076.6,46.4
24,539.1,935.4,78.6
25,1154.8,1194,47.1
26,705.1,580.4,47.5
27,877.1,983.3,47.4
28,883.2,653.9,45.9
29,584.6,812,192.2
30,780.6,789.3,48.2
31,689.8,721.7,203
32,822.8,728.9,44.6
33,835.4,857.1,48.3
34,712.1,843.6,48.5
35,594.9,828.7,47.6
36,756.7,729.3,287.7
37,625.1,858.5,196.5
38,1043.1,564.8,265.7
39,725.5,632.9,47.3
40,671.4,504.1,48.3
41,597.7,441.6,343.2
42,637.1,964.1,53.4
43,550.8,290.9,122.7
44,528.6,685.4,46.4
45,394.7,574.7,47.4
46,552.5,526.9,47.2
47,522.2,735.2,47.9
48,467.5,571.4,46.4
49,392.7,378.4,50.6
50,442.5,507.8,47
51,314.9,422.7,51.7
52,628.9,494.8,48.3
53,333.5,348.4,46.2
54,321.4,395.4,44.7
55,418.6,366.6,45.4
56,395.1,229.8,49.6
57,470.9,293.6,45.1
58,457.1,408,46.9
59,291.9,546.5,49.1
60,484.8,530.2,47.8
61,356.6,354.2,48.5
62,367.2,532.9,48.6
63,441.8,406.5,46.7
64,411.3,307.4,62
65,313.2,232.3,180
66,343.5,391,55
67,427.5,357.2,48
68,250.8,623.8,47
69,304.9,423.7,48.5
70,382.5,361.2,46.1
71,368.9,415.2,51
72,258.6,355.1,45.8
73,396.9,452.3,46.4
74,295.9,324.2,46.2
75,423.4,335.6,48.2
76,208.5,344.8,61.3
77,280.5,383.7,43.1
78,214.6,207.5,51.1
79,157.2,214,46.1
80,186.3,171.1,45.7
81,207.2,229.6,48.7
82,153.6,238.6,45.2
83,224.4,189.9,46.1
84,200.2,269.5,46.3
85,189.1,339.8,44.5
86,218.9,286.3,45.5
87,205.1,209.7,48.4
88,148.8,286.2,47.4
89,166.4,255.9,48.8
90,145.1,245.2,49.6
91,114.5,149.7,47.9
92,132.5,185.7,48.4
93,147.9,166.9,47
94,132.2,181.1,49.9
95,137.5,122.2,45.2
96,139.9,175.8,47.9
97,146.8,153.9,48.6
98,123.8,190.7,48.8
99,141.2,152.8,46.6
100,90.3,122.1,48.8
101,126.8,136.3,48.7
102,118.1,111.8,46.6
103,114.5,141.2,46.6
104,100.3,124.9,46.2
105,79.7,158.4,48.4
106,104.6,138.4,46.8
107,79.1,123,46.8
108,93.2,97.4,46.2
109,77.8,97.6,48.3
110,74.4,83.4,105.4
111,89.9,73.9,50.1
112,69.5,76.1,49.9
113,72.1,92.5,48.2
114,99.8,104,46.9
115,74.2,76.7,46.7
116,67.3,91.5,46
117,67.7,89.4,47.2
118,71.7,88.9,47
119,61.4,75.7,47.4
120,58.1,71.8,47.5
121,58.8,69.3,48.8
122,59.1,69.6,48.1
123,60.8,69.9,48.4
124,77.5,61.3,48.8
125,55.2,64.5,46.7
126,67.2,62,45.1
127,58.3,69.9,48.9
128,65.4,56.3,48.3
129,54.2,56.9,46.9
130,54.4,60.7,46.5
131,53.5,69.4,47.9
132,53.2,54.9,83.6
133,54,56.4,47.7
134,49.3,57.4,48.3
135,49.1,57.1,49.7
136,46.3,62.9,46.9
137,55.5,55,47
138,51.1,54.1,49.3
139,51.1,51.4,49.5
140,52.2,52.5,47.4
141,57.3,62.4,47.5
142,53.3,53.5,45.6
143,54.6,55.9,46.2
144,53.9,64.7,47.7
145,53.7,59.6,48.6
146,54.8,53.5,47.5
147,55.8,56.9,48.9
148,56.4,53.5,49.4
149,52.2,60,48.1
150,53.8,52.5,47.6
151,49.2,62.8,46.6
152,54.3,55.8,46.1
153,55.1,52.4,48.2
154,51.4,55.7,46.5
155,52.5,55.3,44.6
156,53.2,48.2,47.5
157,57.3,54.6,49.8
158,53.8,56,46.9
159,51,53.3,47.9
160,54.2,52.5,48.7
161,54.3,53.7,45.3
162,52.7,52.9,47.8
163,50.7,52,46.5
164,49.8,56.9,47.8
165,53,49.4,49.2
166,54.7,54.5,50
167,51.2,50.8,46.5
168,50.8,55.3,52.4
169,54.8,51.1,48
170,58,53.6,50
171,53,49.2,49.8
172,58.2,53.2,46.6
173,54.5,56.9,49.9
174,52.5,52.1,46.3
175,53.5,60,46.5
176,56.3,54.6,50.7
177,49.6,52.2,48.1
178,50.8,50.4,46.4
179,52.6,59.8,50.3
180,52.5,52.3,45.1
181,53.7,57.6,48.3
182,54.8,53,46.2
183,52.7,54.5,48.9
184,55.9,54.8,47.7
185,53.4,53.3,45.3
186,52.7,58.6,47.6
187,52.1,56.5,50.5
188,51.7,51.8,47.8
189,51.2,56.3,46.6
190,55.2,51.5,48.5
191,56.4,51.7,46.8
192,52.8,54.2,46
193,52.1,48.7,48.4
194,54.5,54.3,45.7
195,51.6,49.4,46.7
196,49.2,53.9,46
197,50.3,53.9,49.9
198,48.9,57.9,44.7
199,53.7,53.8,49.2
200,54.2,50.4,49
201,50.7,51,47.6
202,52.2,51.3,47.8
203,54.2,53.4,50.7
204,52.8,54.3,49.5
205,51.3,56.6,46.9
206,51.2,49.9,49.3
207,50.8,49.9,46.4
208,52.9,48.9,50.3
209,54.1,52.1,49
210,50.1,53.8,47.8
211,47.9,52,48.8
212,55.4,53.4,47.2
213,55.6,52.5,50.1
214,48.6,51.2,50.3
215,50.2,52.7,46.1
216,53.7,55.1,49
217,52.1,55.5,48.8
218,55.3,47.9,47.5
219,54.5,50.1,45.9
220,49.5,52.2,45.9
221,49.3,50.3,49.9
222,51.7,51.3,51
223,52,53.8,45
224,54.3,52.2,47.8
225,52.3,57.8,61.8
226,48.5,50.2,50.7
227,49.7,53,48.6
228,50.8,51.8,50.2
229,53.9,51.8,48.6
230,49.7,55.9,45
231,51.7,54,50.6
232,51.1,54.4,49.2
233,51.3,51.2,48.9
234,51.6,52.5,46.6
235,53.5,54.4,50.9
236,53.2,52.4,46.3
237,46.7,53.9,47.9
238,54.5,54,49.3
239,54.7,56.8,46.7
240,49.4,51.8,45.6
241,53.8,47.9,49.9
242,53.5,52.9,48.1
243,51.2,53.8,48.8
244,50,54.6,47.8
245,51.5,51.2,46.5
246,52,50.9,46.9
247,53.2,48.3,47.2
248,52.6,53.4,48.7
249,53.3,55.5,49.2
250,49,49.3,49.4
251,52.4,53.5,48.1
252,52,52.6,47
253,49.4,53.2,47.6
254,51.7,51.2,45.4
255,52,50.4,47.6
256,50.3,51.3,47.7
257,50.9,54.4,47.8
258,51.6,52.9,46.5
259,50.6,52.4,48
260,49.3,54.2,47.2
261,53.4,47.1,47.9
262,50.4,50.6,48.9
263,49.4,52.9,45.2
264,56.1,54.9,46.6
265,48.3,53.1,46.3
266,56.7,52.7,49.8
267,53,50.4,49.2
268,48,47.1,44.9
269,51.5,54.7,46.3
270,50.9,49,46.3
271,51.7,49.9,45.9
272,50.8,57.1,50.3
273,52.7,49.8,47.4
274,52.9,50.9,47.5
275,49.3,49.8,46.7
276,54.5,48.6,45.9
277,49.3,48.3,49.1
278,51.2,53.9,48.4
279,48.1,52.6,46.2
280,47.6,53.6,47.9
281,51.2,49.5,46.3
282,52.9,54.3,47.3
283,53.7,51.5,48.9
284,52.9,50.5,49.1
285,51.1,52.8,47.1
286,51.4,51.7,45.6
287,48.4,48.7,46
288,53.3,51.1,48.4
289,52.1,51.4,50.1
290,52.1,52.1,46.1
291,52.5,52.5,49.6
292,54.8,50.8,45.8
293,50.2,50.2,46.1
294,49,49.7,50.9
295,52.1,51.1,47.2
296,51.6,52.1,48.1
297,56.3,49.4,48.2
298,49.6,51.5,46.9
299,48.9,49,49
300,46,55.2,48.8
301,50.5,50.1,46
302,56.5,55.3,48.7
303,53.7,50.1,48.1
304,49.9,52.4,48.4
305,50.3,54.4,45.7
306,50.2,51.5,48
307,48.6,50.1,50.4
308,53.3,55,46.3
309,50.9,53.2,46
310,53.9,48.7,46.6
311,52.6,49.8,47.1
312,51.7,51.3,46.7
313,51.6,51.6,45.4
314,50.3,51,48.2
315,60.4,51.2,49.5
316,55.3,53.2,46.8
317,51.6,50.8,47.6
318,50.1,53.8,46.6
319,54.4,49.9,47.9
320,50.1,52.3,47.9
321,52.5,51.4,45.4
322,49.7,52.6,50.4
323,47.6,56.4,50.1
324,52.6,49.6,49.7
325,53.2,51.6,48.9
326,50.3,52.3,47.8
327,51.8,51.9,47.5
328,54.5,55.6,48.7
329,48.2,52,47.9
330,52.6,50.1,47.7
331,50.2,52,46.7
332,48.7,52.9,48.6
333,49.2,49.3,47.6
334,48.7,51.3,47.9
335,55.7,46.6,47.9
336,52.2,51.9,44.5
337,48.7,52.5,47.7
338,51.2,48.9,49.8
339,50.9,49,49.3
340,51,52.4,48.1
341,49.6,49.1,47.3
342,50.5,50.1,47.6
343,53.4,50.5,49.7
344,47.4,50.2,46.6
345,51.4,52.1,47.3
346,50.4,56.7,51.8
347,51,48.5,46.4
348,49.2,50.2,47.6
349,53.7,48,47.5
350,53,50.7,50.4
351,50.6,50.7,49.2
352,52.7,52.4,51.7
353,64.5,53.8,46.3
354,50.7,50.1,45.7
355,74.4,48.7,48
356,52.7,49.1,46.7
357,54.7,49.3,45.3
358,51.1,47.7,48.3
359,54.1,49.4,47.1
360,49.4,51.1,48.4
361,53.8,49.2,48.1
362,52.1,50.4,45.5
363,52.6,49.8,45.7
364,47.7,50.2,52.5
365,51.5,49.7,46.5
366,50.8,51.4,48
367,53,51.2,48.7
368,51.5,51.3,47.1
369,51.9,52.5,49.1
370,51.3,49.5,46.7
371,51.3,53.8,47.8
372,53.1,49.4,49.1
373,50.7,49.4,50.3
374,50.5,49.2,49.1
375,49.1,52.4,47.4
376,50.7,50.4,47.1
377,49.3,54.6,48.7
378,46.7,52,47.2
379,50.3,47,44.9
380,56.2,51.8,47.6
381,49.4,52.5,48.2
382,52.3,51.4,50.2
383,51.6,51.4,50.6
384,48.1,59.4,48.7
385,50.7,51.4,49.2
386,51.8,51.9,51.8
387,49.4,52.7,49.8
388,50.5,51.9,49
389,50.1,49.5,50.5
390,46.4,51.2,48.8
391,53.1,52.1,46.9
392,51,48.4,46.3
393,52.7,53.1,46.5
394,50.5,51.8,45.2
395,50.2,55.4,46.7
396,52.1,51.4,46.5
397,46.2,50.6,48.4
398,49.4,50.1,46.6
399,48.8,49.9,47.1
