,Q_Learning,SARSA,SARSA_PIES
0,103.8,80.8,134.9
1,113.5,114.5,107.8
2,58.3,173.2,94.8
3,61.4,54.0,90.0
4,58.5,45.8,99.3
5,32.1,89.7,106.5
6,20.1,27.1,62.4
7,28.8,33.9,71.1
8,22.3,32.5,77.6
9,17.9,22.6,77.5
10,18.1,32.6,71.2
11,16.8,19.0,81.8
12,13.4,15.0,58.1
13,11.5,14.3,58.6
14,15.7,12.5,65.4
15,11.7,14.3,55.4
16,12.7,14.4,61.3
17,11.7,13.0,66.4
18,9.6,12.4,44.3
19,11.2,10.3,54.0
20,11.7,12.1,46.4
21,13.8,11.9,44.5
22,11.9,11.6,48.6
23,10.2,11.7,52.2
24,11.8,11.2,51.1
25,12.6,12.0,41.1
26,12.4,11.1,40.5
27,12.1,12.2,42.8
28,11.4,12.1,44.8
29,11.8,12.2,42.3
30,10.6,12.3,46.4
31,12.4,11.6,47.7
32,11.0,14.4,38.8
33,10.9,12.5,39.1
34,11.3,11.3,38.6
35,11.2,10.2,39.9
36,10.8,10.4,39.2
37,11.7,11.9,37.9
38,11.9,11.7,39.2
39,10.6,13.1,41.5
40,11.1,11.6,38.5
41,11.9,12.5,35.7
42,12.2,11.3,36.7
43,11.8,11.5,38.2
44,11.1,11.4,36.2
45,11.7,12.3,36.6
46,10.9,11.7,35.5
47,10.7,11.3,35.0
48,11.0,11.9,35.9
49,10.9,10.5,35.5
50,11.4,10.0,36.7
51,11.5,12.5,35.2
52,11.0,13.1,34.5
53,12.5,10.9,36.7
54,11.1,11.5,35.1
55,11.6,12.5,35.8
56,10.9,11.7,35.4
57,11.4,10.9,36.8
58,10.4,11.9,34.1
59,11.1,12.4,37.0
60,12.1,9.7,36.5
61,9.9,12.7,37.0
62,10.9,12.4,35.5
63,10.9,10.1,34.9
64,11.9,12.7,35.8
65,12.4,10.2,35.9
66,10.8,10.0,36.2
67,11.1,13.2,35.5
68,11.2,12.3,34.6
69,10.6,11.4,35.0
70,12.1,11.3,35.7
71,11.8,11.2,35.0
72,10.9,10.6,33.9
73,10.4,12.0,34.8
74,11.6,10.5,35.0
75,10.4,11.1,34.0
76,12.0,10.7,34.8
77,12.7,11.3,37.3
78,11.9,12.3,34.8
79,11.7,11.6,36.0
80,12.3,10.0,35.3
81,11.3,10.8,37.0
82,11.7,11.3,36.5
83,9.6,11.8,35.8
84,10.2,10.9,33.7
85,12.0,11.3,35.1
86,11.4,10.8,35.2
87,11.6,9.5,36.3
88,10.1,11.0,35.1
89,10.6,10.6,37.8
90,10.2,10.0,36.8
91,11.8,10.7,36.0
92,10.5,11.2,34.5
93,11.4,9.8,34.4
94,10.9,11.9,35.9
95,10.4,10.8,36.4
96,10.7,11.3,36.8
97,11.1,12.6,35.5
98,11.5,12.8,36.5
99,13.1,12.0,36.4
