,Q_Learning,SARSA,SARSA_PIES
0,334.9,420.8,277.8
1,325.4,376.4,133.6
2,287.5,349.9,78.3
3,422.5,350.4,56.3
4,336.9,345.5,24.2
5,275.8,340.6,20.4
6,312.5,325.6,22.3
7,234.4,256.3,70.7
8,177.4,288.6,22.1
9,208.5,273.3,23.3
10,176.4,268.2,31.3
11,103.5,233.3,24.3
12,217.8,178.6,24.7
13,155.6,290,23.6
14,126,143.5,21.6
15,132.2,212,23.6
16,107.7,167,22
17,99.2,141.8,21.5
18,86.5,199.9,22.8
19,101.5,145.6,21.1
20,80.1,170.1,23.1
21,127.2,109.1,21.6
22,68.8,156.9,24
23,76.8,113.3,23.9
24,88.3,138.7,22.8
25,54.3,111.2,21.5
26,74.1,130.1,22.3
27,56.8,93.7,21.6
28,46.7,62.9,23.6
29,63.8,86.9,21.6
30,59.5,81.4,21.8
31,55.6,88.5,35.7
32,46.3,89.4,30.4
33,38.9,70.2,21
34,30.9,51.7,42.2
35,35.7,52.7,36.1
36,48.3,58.6,24.1
37,31.4,69.4,21.2
38,27.7,57.3,22.1
39,32.6,49.8,70.8
40,31.4,34.4,23.7
41,30.1,41.1,22.2
42,29.7,59.5,22.7
43,25.7,39.5,30
44,26.9,37.7,20.9
45,31.4,38.5,22.6
46,27.6,31.9,24.1
47,27.6,28.6,24.3
48,26.4,30.5,25.3
49,25.1,46,22.2
50,27.4,31.1,39.1
51,23.5,23.6,24.7
52,27.1,27.7,22.6
53,23.6,26.5,22.3
54,24.2,25,24.3
55,23.7,32.7,36.4
56,25.4,29.5,21.8
57,24.2,27.6,22.8
58,24,30.4,24.4
59,24.9,32.7,23.2
60,24,24.3,25.5
61,29,25.8,24.2
62,22.9,26,21.8
63,29.6,34.8,23.2
64,28.9,26.2,23.2
65,26.9,25.5,22
66,24.8,28.6,22.1
67,24.6,31.7,24.8
68,24.5,30.5,61.4
69,23,25.1,21.2
70,23.8,28.8,23.7
71,27.5,27,21.8
72,21.3,22.9,21.5
73,23.6,33.3,21.7
74,26,25.2,20.8
75,26.5,24.3,21.4
76,26.9,25.8,22
77,23.3,25.2,23.8
78,27.9,25.8,21.3
79,23.7,24.3,21.9
80,25.6,26.5,21.9
81,27.4,23,22.9
82,25.1,25.2,25.3
83,27.1,24.4,23.8
84,24.2,25.9,22
85,24.6,25.4,22.4
86,26,25.5,22.9
87,24.3,26.7,22.2
88,23.1,24.1,21.8
89,26.5,28.3,24.2
90,25.1,24.1,23.5
91,22.1,25.6,22.4
92,23.9,25.4,23.9
93,23.5,26.5,22.1
94,25.3,25.6,20.6
95,25.7,24.9,21.7
96,25.2,25.3,22.8
97,23,25.2,20.3
98,24.3,26.6,24.8
99,25.5,25.2,20.9
100,25.8,22.1,24.6
101,23.3,26.5,22.2
102,22.8,26.3,23.7
103,26.3,23.9,20.1
104,25.2,27.4,21.2
105,24.2,26.5,24.5
106,26.2,26.4,23
107,23.6,22.9,22.4
108,26.4,24.9,22.1
109,23.2,24,24.8
110,23.9,28.7,21.6
111,23.1,24.1,24.2
112,25,24.6,22.9
