,Q_Learning,SARSA,SARSA_PIES
0,985.7,575.7,847.8
1,616.7,677.3,492.9
2,638.8,709.3,409.2
3,461.5,536.0,467.1
4,594.9,633.3,567.0
5,465.8,463.3,731.1
6,418.3,373.7,431.4
7,551.4,379.6,545.5
8,360.1,245.8,580.3
9,235.3,295.5,551.5
10,416.6,426.9,607.1
11,242.4,321.2,473.9
12,259.7,227.8,687.1
13,280.3,275.5,456.1
14,320.3,202.3,524.4
15,213.8,255.4,565.6
16,166.6,267.8,342.2
17,177.4,307.3,428.7
18,260.0,122.7,448.2
19,162.3,327.5,479.2
20,111.1,175.4,325.1
21,141.5,158.6,474.4
22,108.9,160.2,545.1
23,82.6,204.1,571.4
24,115.2,150.7,327.1
25,132.2,152.3,516.6
26,97.3,123.2,491.8
27,66.9,144.3,339.6
28,82.5,96.7,419.2
29,53.8,112.0,297.5
30,84.0,98.0,462.6
31,50.2,105.8,418.8
32,50.2,96.9,308.4
33,40.7,72.5,324.7
34,36.0,97.6,309.7
35,37.5,80.5,361.3
36,35.1,49.0,354.6
37,35.6,73.6,282.9
38,38.9,54.6,383.3
39,34.3,61.8,232.0
40,31.6,44.7,408.6
41,29.0,46.5,274.5
42,32.5,41.3,286.8
43,31.8,49.2,272.5
44,31.7,38.7,399.2
45,30.8,41.6,265.2
46,30.8,37.1,404.0
47,29.4,33.1,286.9
48,30.2,30.2,281.2
49,30.1,33.6,220.4
50,29.9,31.6,332.0
51,32.6,38.0,180.7
52,31.4,32.7,406.8
53,31.8,30.5,309.6
54,29.1,34.9,290.3
55,34.7,35.8,260.4
56,31.9,31.3,256.8
57,27.8,30.4,318.4
58,33.0,31.4,320.3
59,27.0,31.1,326.0
60,30.0,32.3,273.9
61,31.3,31.5,151.2
62,29.6,28.4,191.9
63,30.9,30.4,216.7
64,31.7,33.5,191.9
65,27.5,33.1,255.4
66,29.4,28.1,275.2
67,32.6,28.5,160.2
68,29.4,30.7,210.5
69,29.3,31.8,308.2
70,26.4,31.9,153.3
