,0
0,24
1,24
2,83
3,83
4,159
5,159
6,21
7,21
8,15
9,15
10,49
11,49
12,54
13,54
14,54
15,54
16,15
17,15
18,24
19,24
20,15
21,15
22,21
23,21
24,19
25,19
26,26
27,26
28,26
29,26
30,11
31,11
32,9
33,9
34,11
35,11
36,13
37,13
38,9
39,9
40,9
41,9
42,9
43,9
44,15
45,15
46,9
47,9
48,9
49,9
50,9
51,9
52,18
53,18
54,9
55,9
56,15
57,15
58,9
59,9
60,9
61,9
62,11
63,11
64,11
65,11
66,9
67,9
68,9
69,9
70,12
71,12
72,10
73,10
74,15
75,15
76,9
77,9
78,11
79,11
80,13
81,13
82,11
83,11
84,11
85,11
86,9
87,9
88,11
89,11
90,12
91,12
92,13
93,13
94,11
95,11
96,13
97,13
98,9
99,9
100,9
101,9
102,12
103,12
104,9
105,9
106,22
107,22
108,13
109,13
110,10
111,10
112,15
113,15
114,15
115,15
116,9
117,9
118,11
119,11
120,18
121,18
122,18
123,18
124,13
125,13
126,11
127,11
128,11
129,11
130,9
131,9
132,14
133,14
134,11
135,11
136,11
137,11
138,15
139,15
140,15
141,15
142,17
143,17
144,9
145,9
146,13
147,13
148,15
149,15
150,11
151,11
152,13
153,13
154,11
155,11
156,18
157,18
158,11
159,11
160,13
161,13
162,9
163,9
164,9
165,9
166,9
167,9
168,17
169,17
170,14
171,14
172,12
173,12
174,11
175,11
176,25
177,25
178,9
179,9
180,10
181,10
182,9
183,9
184,9
185,9
186,9
187,9
188,11
189,11
190,9
191,9
192,12
193,12
194,11
195,11
196,13
197,13
198,11
199,11
200,9
201,9
202,11
203,11
204,17
205,17
206,13
207,13
208,9
209,9
210,11
211,11
212,9
213,9
214,15
215,15
216,9
217,9
218,11
219,11
220,14
221,14
222,11
223,11
224,10
225,10
226,15
227,15
228,9
229,9
230,12
231,12
232,11
233,11
234,12
235,12
236,11
237,11
238,12
239,12
240,9
241,9
242,13
243,13
244,11
245,11
246,9
247,9
248,9
249,9
250,9
251,9
252,10
253,10
254,19
255,19
256,9
257,9
258,9
259,9
260,11
261,11
262,11
263,11
264,12
265,12
266,9
267,9
268,11
269,11
270,10
271,10
272,14
273,14
274,9
275,9
276,9
277,9
278,11
279,11
280,19
281,19
282,11
283,11
284,11
285,11
286,12
287,12
288,10
289,10
290,14
291,14
292,11
293,11
294,9
295,9
296,13
297,13
298,9
299,9
300,13
301,13
302,9
303,9
304,13
305,13
306,9
307,9
308,15
309,15
310,11
311,11
312,13
313,13
314,11
315,11
316,9
317,9
318,13
319,13
320,13
321,13
322,11
323,11
324,12
325,12
326,13
327,13
328,9
329,9
330,11
331,11
332,11
333,11
334,11
335,11
336,11
337,11
338,12
339,12
340,9
341,9
342,10
343,10
344,15
345,15
346,11
347,11
348,11
349,11
350,11
351,11
352,12
353,12
354,11
355,11
356,13
357,13
358,9
359,9
360,11
361,11
362,18
363,18
364,11
365,11
366,16
367,16
368,15
369,15
370,18
371,18
372,9
373,9
374,13
375,13
376,14
377,14
378,9
379,9
380,9
381,9
382,15
383,15
384,9
385,9
386,13
387,13
388,13
389,13
390,12
391,12
392,11
393,11
394,10
395,10
396,14
397,14
398,12
399,12
